# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = timeVaryingSEIR_model
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 4
# output
#   file = outputs/output_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_start,beta_fract,k,beta_end
# Adaptation terminated
# Step size = 0.0162404
# Diagonal elements of inverse mass matrix:
# 1.30434e-05, 0.000510106, 1.06649
6.10876e+06,0.985349,0.0162404,3,15,0,-6.10876e+06,0.115461,0.70685,0.151099,0.0816135
6.10876e+06,0.998165,0.0162404,4,23,0,-6.10876e+06,0.115524,0.705642,0.140809,0.0815185
6.10876e+06,0.974092,0.0162404,3,11,0,-6.10876e+06,0.115529,0.706476,0.141344,0.0816183
6.10876e+06,1,0.0162404,2,7,0,-6.10876e+06,0.115502,0.70612,0.147154,0.0815586
6.10876e+06,0.953683,0.0162404,2,3,0,-6.10876e+06,0.115515,0.706177,0.145277,0.0815738
6.10876e+06,0.72351,0.0162404,2,3,0,-6.10876e+06,0.115493,0.706194,0.144082,0.0815605
6.10876e+06,0.899744,0.0162404,2,7,0,-6.10876e+06,0.115515,0.706232,0.142426,0.08158
6.10876e+06,0.962396,0.0162404,2,3,0,-6.10876e+06,0.115534,0.706179,0.145089,0.0815874
6.10876e+06,1,0.0162404,4,19,0,-6.10876e+06,0.115475,0.707196,0.149304,0.0816632
6.10876e+06,0.885351,0.0162404,2,3,0,-6.10876e+06,0.115477,0.707192,0.145249,0.0816647
6.10876e+06,0.975171,0.0162404,3,15,0,-6.10876e+06,0.115489,0.706511,0.14421,0.0815941
6.10876e+06,0.998123,0.0162404,4,23,0,-6.10876e+06,0.115451,0.707279,0.147951,0.0816565
6.10876e+06,0.969571,0.0162404,2,7,0,-6.10876e+06,0.115451,0.707329,0.146749,0.0816617
6.10876e+06,0.918722,0.0162404,2,3,0,-6.10876e+06,0.115455,0.707374,0.150583,0.0816696
6.10876e+06,0.99702,0.0162404,3,15,0,-6.10876e+06,0.115474,0.707214,0.149523,0.0816647
6.10876e+06,0.968435,0.0162404,3,7,0,-6.10876e+06,0.115468,0.707159,0.147937,0.0816541
6.10876e+06,0.966965,0.0162404,4,19,0,-6.10876e+06,0.115447,0.70742,0.148454,0.0816695
6.10876e+06,0.899454,0.0162404,2,5,0,-6.10876e+06,0.115468,0.707441,0.149043,0.0816866
6.10876e+06,0.941778,0.0162404,2,7,0,-6.10876e+06,0.11545,0.707533,0.148497,0.0816846
6.10876e+06,0.939972,0.0162404,2,7,0,-6.10876e+06,0.115465,0.707532,0.149209,0.081695
6.10876e+06,0.744725,0.0162404,2,7,0,-6.10876e+06,0.115444,0.707456,0.145149,0.0816712
6.10876e+06,1,0.0162404,3,15,0,-6.10876e+06,0.11546,0.707274,0.152177,0.0816616
6.10876e+06,1,0.0162404,2,3,0,-6.10876e+06,0.115463,0.707287,0.150877,0.0816655
6.10876e+06,0.992847,0.0162404,2,3,0,-6.10876e+06,0.115456,0.707275,0.146053,0.0816591
6.10876e+06,0.887131,0.0162404,3,15,0,-6.10876e+06,0.115466,0.707135,0.146661,0.0816501
6.10876e+06,0.957081,0.0162404,3,15,0,-6.10876e+06,0.115478,0.706811,0.145449,0.0816214
6.10876e+06,0.918188,0.0162404,2,7,0,-6.10876e+06,0.115479,0.706845,0.148759,0.0816255
6.10876e+06,0.865893,0.0162404,2,3,0,-6.10876e+06,0.115483,0.706922,0.145464,0.0816375
6.10876e+06,0.986068,0.0162404,4,31,0,-6.10876e+06,0.115484,0.707029,0.146881,0.0816505
6.10876e+06,0.965529,0.0162404,4,23,0,-6.10876e+06,0.115531,0.706192,0.143999,0.0815869
6.10876e+06,0.967148,0.0162404,4,31,0,-6.10876e+06,0.115455,0.707162,0.148416,0.0816451
6.10876e+06,0.999533,0.0162404,3,11,0,-6.10876e+06,0.115461,0.707638,0.148768,0.0817045
6.10876e+06,0.919844,0.0162404,1,3,0,-6.10876e+06,0.115451,0.707547,0.149884,0.0816869
6.10876e+06,0.957245,0.0162404,4,19,0,-6.10876e+06,0.115435,0.707883,0.152205,0.0817142
6.10876e+06,0.914755,0.0162404,2,3,0,-6.10876e+06,0.115438,0.708058,0.147512,0.0817365
6.10876e+06,0.914796,0.0162404,4,19,0,-6.10876e+06,0.115503,0.706126,0.14135,0.0815595
6.10876e+06,1,0.0162404,4,19,0,-6.10876e+06,0.115458,0.70733,0.146311,0.0816672
6.10876e+06,0.965955,0.0162404,3,15,0,-6.10876e+06,0.115453,0.707752,0.150402,0.0817119
6.10876e+06,0.864166,0.0162404,2,5,0,-6.10876e+06,0.115428,0.707554,0.149563,0.0816715
6.10876e+06,0.994167,0.0162404,3,7,0,-6.10876e+06,0.115426,0.707599,0.149056,0.0816752
6.10876e+06,0.978059,0.0162404,2,3,0,-6.10876e+06,0.115448,0.707727,0.148253,0.0817058
6.10876e+06,0.751237,0.0162404,2,3,0,-6.10876e+06,0.11547,0.707619,0.149635,0.0817086
6.10876e+06,1,0.0162404,2,3,0,-6.10876e+06,0.115455,0.707549,0.149352,0.0816901
6.10876e+06,0.917191,0.0162404,3,9,0,-6.10876e+06,0.115441,0.707727,0.152211,0.0817006
6.10876e+06,0.98212,0.0162404,2,3,0,-6.10876e+06,0.11545,0.707777,0.148068,0.0817128
6.10876e+06,0.975079,0.0162404,2,3,0,-6.10876e+06,0.115455,0.707789,0.151049,0.0817178
6.10876e+06,1,0.0162404,2,3,0,-6.10876e+06,0.115457,0.707844,0.149671,0.0817253
6.10876e+06,0.872531,0.0162404,4,31,0,-6.10876e+06,0.11541,0.708005,0.151679,0.081711
6.10876e+06,0.943895,0.0162404,3,11,0,-6.10876e+06,0.11543,0.708521,0.151811,0.0817848
6.10876e+06,0.84818,0.0162404,2,7,0,-6.10875e+06,0.11543,0.70873,0.151254,0.0818085
6.10876e+06,0.967149,0.0162404,2,7,0,-6.10875e+06,0.115436,0.70868,0.150653,0.0818069
6.10876e+06,0.993933,0.0162404,2,3,0,-6.10875e+06,0.115422,0.70861,0.151636,0.0817894
6.10876e+06,1,0.0162404,2,3,0,-6.10876e+06,0.115419,0.708591,0.151844,0.0817846
