# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = timeVaryingSEIR_model
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 3
# output
#   file = outputs/output_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_start,beta_fract,k,beta_end
# Adaptation terminated
# Step size = 0.0306173
# Diagonal elements of inverse mass matrix:
# 9.96923e-06, 1.83115e-05, 0.000574838
6.10876e+06,0.964123,0.0306173,2,7,0,-6.10876e+06,0.115507,0.706724,0.142896,0.0816314
6.10876e+06,0.959346,0.0306173,6,63,0,-6.10876e+06,0.115538,0.706057,0.14436,0.0815761
6.10876e+06,1,0.0306173,2,3,0,-6.10876e+06,0.115527,0.706047,0.144364,0.0815677
6.10876e+06,0.999865,0.0306173,5,31,0,-6.10876e+06,0.115515,0.706192,0.144561,0.0815754
6.10876e+06,0.700995,0.0306173,2,3,0,-6.10876e+06,0.115514,0.706248,0.144548,0.0815814
6.10876e+06,0.971411,0.0306173,5,47,0,-6.10876e+06,0.115519,0.706287,0.144059,0.0815896
6.10876e+06,0.999855,0.0306173,5,55,0,-6.10876e+06,0.115527,0.705881,0.141774,0.0815484
6.10876e+06,0.999931,0.0306173,4,31,0,-6.10876e+06,0.115519,0.706248,0.142078,0.0815848
6.10876e+06,0.621086,0.0306173,2,3,0,-6.10876e+06,0.115512,0.706294,0.142065,0.0815854
6.10876e+06,0.977047,0.0306173,4,31,0,-6.10876e+06,0.115528,0.706111,0.141856,0.081576
6.10876e+06,0.982692,0.0306173,4,23,0,-6.10876e+06,0.115527,0.706049,0.141645,0.0815677
6.10876e+06,0.926774,0.0306173,3,15,0,-6.10876e+06,0.115511,0.706099,0.141899,0.0815626
6.10876e+06,0.988883,0.0306173,2,3,0,-6.10876e+06,0.115534,0.706081,0.141894,0.0815763
6.10876e+06,1,0.0306173,2,3,0,-6.10876e+06,0.115517,0.706075,0.141853,0.0815637
6.10876e+06,0.993759,0.0306173,5,39,0,-6.10876e+06,0.115514,0.706139,0.142969,0.0815688
6.10876e+06,0.228404,0.0306173,2,3,0,-6.10875e+06,0.115554,0.706167,0.143058,0.0816005
6.10876e+06,0.997402,0.0306173,2,3,0,-6.10876e+06,0.115496,0.706175,0.143072,0.0815606
6.10876e+06,1,0.0306173,3,11,0,-6.10876e+06,0.115519,0.706155,0.142919,0.0815745
6.10876e+06,0.962979,0.0306173,6,63,0,-6.10876e+06,0.115497,0.706587,0.143477,0.0816088
6.10876e+06,0.526083,0.0306173,2,3,0,-6.10876e+06,0.115475,0.706551,0.143374,0.081589
6.10876e+06,0.99982,0.0306173,2,7,0,-6.10876e+06,0.115513,0.706574,0.143295,0.0816184
6.10876e+06,0.999972,0.0306173,6,63,0,-6.10876e+06,0.115533,0.705879,0.142094,0.0815521
6.10876e+06,0.981074,0.0306173,5,31,0,-6.10876e+06,0.115537,0.705886,0.141447,0.0815562
6.10876e+06,0.794957,0.0306173,2,3,0,-6.10876e+06,0.115552,0.705878,0.141424,0.0815657
6.10876e+06,1,0.0306173,2,3,0,-6.10876e+06,0.115537,0.705888,0.141443,0.0815564
6.10876e+06,0.999348,0.0306173,5,31,0,-6.10876e+06,0.115525,0.705919,0.14084,0.0815515
6.10876e+06,0.85301,0.0306173,4,27,0,-6.10876e+06,0.115514,0.706006,0.139473,0.0815538
6.10876e+06,0.982365,0.0306173,6,63,0,-6.10876e+06,0.115529,0.70551,0.142188,0.0815071
6.10876e+06,0.999999,0.0306173,6,95,0,-6.10876e+06,0.115447,0.707712,0.147252,0.0817033
6.10876e+06,0.854681,0.0306173,5,63,0,-6.10876e+06,0.115453,0.707244,0.146887,0.0816537
6.10876e+06,0.999949,0.0306173,6,83,0,-6.10876e+06,0.115474,0.707311,0.149322,0.0816758
6.10876e+06,0.99187,0.0306173,6,63,0,-6.10876e+06,0.115442,0.707397,0.151387,0.0816636
6.10876e+06,0.93833,0.0306173,5,63,0,-6.10876e+06,0.115419,0.707861,0.150445,0.0817005
6.10876e+06,1,0.0306173,2,7,0,-6.10876e+06,0.115453,0.707924,0.150579,0.0817316
6.10876e+06,0.997027,0.0306173,2,3,0,-6.10876e+06,0.115418,0.707879,0.150521,0.0817018
6.10876e+06,0.991385,0.0306173,2,3,0,-6.10876e+06,0.115435,0.707886,0.150567,0.0817146
6.10876e+06,0.985596,0.0306173,6,127,0,-6.10876e+06,0.115507,0.706368,0.142259,0.0815903
6.10876e+06,0.994824,0.0306173,2,3,0,-6.10876e+06,0.115515,0.706377,0.142264,0.0815971
6.10876e+06,0.894727,0.0306173,6,95,0,-6.10876e+06,0.115457,0.707125,0.149155,0.0816424
6.10876e+06,0.994841,0.0306173,6,63,0,-6.10876e+06,0.115436,0.708061,0.152542,0.0817361
6.10876e+06,0.891714,0.0306173,4,27,0,-6.10876e+06,0.115416,0.708064,0.15214,0.0817219
6.10876e+06,0.965384,0.0306173,5,55,0,-6.10876e+06,0.115431,0.707853,0.15,0.0817082
6.10876e+06,0.940657,0.0306173,6,63,0,-6.10876e+06,0.115455,0.707605,0.153917,0.0816963
6.10876e+06,0.994329,0.0306173,3,11,0,-6.10876e+06,0.115436,0.707547,0.15423,0.0816764
6.10876e+06,0.881411,0.0306173,6,63,0,-6.10876e+06,0.115435,0.70752,0.148982,0.0816729
6.10876e+06,0.999983,0.0306173,5,63,0,-6.10876e+06,0.115475,0.707402,0.149493,0.0816875
6.10876e+06,0.999979,0.0306173,4,31,0,-6.10876e+06,0.11546,0.707604,0.149174,0.0817003
6.10876e+06,0.999914,0.0306173,6,127,0,-6.10876e+06,0.115485,0.706641,0.145122,0.0816064
6.10876e+06,0.997444,0.0306173,5,63,0,-6.10876e+06,0.115502,0.706694,0.144456,0.0816249
6.10876e+06,0.987438,0.0306173,6,63,0,-6.10876e+06,0.115519,0.706396,0.143218,0.081602
6.10876e+06,0.996076,0.0306173,5,43,0,-6.10876e+06,0.115483,0.706688,0.143955,0.0816106
6.10876e+06,0.893962,0.0306173,6,71,0,-6.10876e+06,0.11547,0.70746,0.149945,0.0816907
6.10876e+06,0.936246,0.0306173,5,39,0,-6.10876e+06,0.115484,0.707214,0.149132,0.081672
6.10876e+06,0.97357,0.0306173,6,75,0,-6.10876e+06,0.115512,0.706601,0.144528,0.081621
6.10876e+06,0.982151,0.0306173,2,3,0,-6.10876e+06,0.115514,0.706611,0.144523,0.0816232
6.10876e+06,0.774193,0.0306173,2,3,0,-6.10876e+06,0.115531,0.706613,0.144572,0.0816359
6.10876e+06,1,0.0306173,2,3,0,-6.10876e+06,0.115501,0.706615,0.144479,0.0816145
6.10876e+06,0.952533,0.0306173,5,55,0,-6.10876e+06,0.115474,0.706921,0.14471,0.0816312
6.10876e+06,0.839042,0.0306173,6,95,0,-6.10876e+06,0.115449,0.707485,0.150745,0.0816784
6.10876e+06,0.999979,0.0306173,6,63,0,-6.10876e+06,0.115465,0.707179,0.150209,0.0816544
6.10876e+06,0.995509,0.0306173,5,39,0,-6.10876e+06,0.11544,0.707773,0.150054,0.0817052
6.10876e+06,0.993226,0.0306173,6,95,0,-6.10876e+06,0.115427,0.708125,0.152755,0.0817369
