# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = timeVaryingSEIR_model
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 14
# output
#   file = outputs/output_14.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_start,beta_fract,k,beta_end
# Adaptation terminated
# Step size = 0.0295536
# Diagonal elements of inverse mass matrix:
# 9.97516e-06, 1.90156e-05, 0.000644298
6.10876e+06,0.853194,0.0295536,5,47,0,-6.10876e+06,0.115499,0.70632,0.143074,0.0815793
6.10876e+06,0.992664,0.0295536,2,3,0,-6.10876e+06,0.115523,0.706306,0.143084,0.0815948
6.10876e+06,0.996667,0.0295536,6,63,0,-6.10876e+06,0.115498,0.706508,0.144691,0.0816001
6.10876e+06,0.93807,0.0295536,4,31,0,-6.10876e+06,0.115498,0.706788,0.144466,0.0816328
6.10876e+06,0.981707,0.0295536,6,95,0,-6.10876e+06,0.115486,0.707049,0.148489,0.081654
6.10876e+06,0.998781,0.0295536,5,39,0,-6.10876e+06,0.11545,0.707331,0.148726,0.0816617
6.10876e+06,1,0.0295536,2,3,0,-6.10876e+06,0.115463,0.707322,0.148755,0.0816694
6.10876e+06,0.939259,0.0295536,6,127,0,-6.10876e+06,0.115527,0.705983,0.145417,0.0815601
6.10876e+06,0.867065,0.0295536,4,23,0,-6.10876e+06,0.115509,0.706426,0.145255,0.0815986
6.10876e+06,0.950775,0.0295536,6,63,0,-6.10876e+06,0.115522,0.706034,0.141946,0.0815627
6.10876e+06,0.965564,0.0295536,2,7,0,-6.10876e+06,0.115531,0.706037,0.141927,0.0815689
6.10876e+06,0.995077,0.0295536,4,31,0,-6.10876e+06,0.115528,0.706119,0.14141,0.0815763
6.10876e+06,0.934226,0.0295536,6,95,0,-6.10876e+06,0.115458,0.707332,0.149751,0.0816668
6.10876e+06,0.954532,0.0295536,2,7,0,-6.10876e+06,0.11547,0.707336,0.149824,0.0816762
6.10876e+06,1,0.0295536,2,3,0,-6.10876e+06,0.115451,0.70733,0.14973,0.0816622
6.10876e+06,0.995279,0.0295536,5,51,0,-6.10876e+06,0.115487,0.70691,0.148851,0.0816391
6.10876e+06,0.965428,0.0295536,5,63,0,-6.10876e+06,0.115501,0.706681,0.14688,0.0816221
6.10876e+06,0.995533,0.0295536,6,83,0,-6.10876e+06,0.115506,0.706463,0.146159,0.0816005
6.10876e+06,0.996754,0.0295536,5,47,0,-6.10876e+06,0.115497,0.706715,0.144044,0.0816237
6.10876e+06,0.956378,0.0295536,5,55,0,-6.10876e+06,0.115472,0.706954,0.145559,0.0816335
6.10876e+06,1,0.0295536,2,7,0,-6.10876e+06,0.115488,0.706944,0.145624,0.0816439
6.10876e+06,0.967206,0.0295536,5,51,0,-6.10876e+06,0.115482,0.706708,0.14501,0.0816121
6.10876e+06,0.988427,0.0295536,6,75,0,-6.10876e+06,0.115466,0.707115,0.146655,0.0816478
