# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = timeVaryingSEIR_model
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 11
# output
#   file = outputs/output_11.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_start,beta_fract,k,beta_end
# Adaptation terminated
# Step size = 0.0327108
# Diagonal elements of inverse mass matrix:
# 9.97987e-06, 1.93125e-05, 0.000620803
6.10876e+06,0.974841,0.0327108,4,31,0,-6.10876e+06,0.11548,0.706923,0.148022,0.0816355
6.10876e+06,0.983309,0.0327108,5,35,0,-6.10876e+06,0.115472,0.707241,0.147543,0.0816666
6.10876e+06,0.985024,0.0327108,5,43,0,-6.10876e+06,0.115467,0.70735,0.146876,0.0816757
6.10876e+06,0.925167,0.0327108,6,71,0,-6.10876e+06,0.115478,0.706714,0.146069,0.0816097
6.10876e+06,0.999414,0.0327108,6,63,0,-6.10876e+06,0.115485,0.706612,0.144333,0.0816031
6.10876e+06,0.996541,0.0327108,6,67,0,-6.10876e+06,0.115476,0.707146,0.147581,0.0816582
6.10876e+06,0.999315,0.0327108,6,111,0,-6.10876e+06,0.115497,0.706568,0.146477,0.0816062
6.10876e+06,0.726862,0.0327108,4,31,0,-6.10876e+06,0.115475,0.707028,0.144637,0.0816443
6.10876e+06,0.95835,0.0327108,6,63,0,-6.10876e+06,0.11549,0.707014,0.143864,0.081653
6.10876e+06,0.969608,0.0327108,2,3,0,-6.10876e+06,0.115472,0.707049,0.143814,0.0816444
6.10876e+06,0.944452,0.0327108,3,11,0,-6.10876e+06,0.115481,0.706945,0.143928,0.081639
6.10876e+06,0.851119,0.0327108,5,35,0,-6.10876e+06,0.115514,0.706309,0.144114,0.0815886
6.10876e+06,0.999931,0.0327108,6,79,0,-6.10876e+06,0.115472,0.707062,0.149029,0.0816456
6.10876e+06,0.977669,0.0327108,6,95,0,-6.10876e+06,0.115437,0.707724,0.151335,0.0816975
6.10876e+06,0.791992,0.0327108,2,7,0,-6.10876e+06,0.115431,0.707679,0.151335,0.0816884
6.10876e+06,0.987964,0.0327108,4,23,0,-6.10876e+06,0.115433,0.707597,0.151119,0.0816803
6.10876e+06,0.972668,0.0327108,4,27,0,-6.10876e+06,0.115425,0.707715,0.150909,0.0816884
6.10876e+06,0.950734,0.0327108,6,79,0,-6.10876e+06,0.115502,0.706593,0.143907,0.081613
6.10876e+06,0.884527,0.0327108,5,39,0,-6.10876e+06,0.115525,0.706263,0.143949,0.0815913
6.10876e+06,0.998803,0.0327108,6,95,0,-6.10876e+06,0.115451,0.707711,0.146477,0.081706
6.10876e+06,0.995435,0.0327108,5,63,0,-6.10876e+06,0.115487,0.706657,0.147067,0.0816099
6.10876e+06,0.951477,0.0327108,5,43,0,-6.10876e+06,0.115489,0.706687,0.145355,0.0816143
6.10876e+06,0.511059,0.0327108,4,23,0,-6.10876e+06,0.11545,0.706861,0.145494,0.0816073
6.10876e+06,0.931087,0.0327108,4,19,0,-6.10876e+06,0.115478,0.706741,0.144944,0.0816127
6.10876e+06,0.999075,0.0327108,6,79,0,-6.10876e+06,0.115497,0.706859,0.146339,0.0816403
6.10876e+06,0.997716,0.0327108,4,31,0,-6.10876e+06,0.115506,0.706562,0.147702,0.0816124
6.10876e+06,0.998006,0.0327108,6,95,0,-6.10876e+06,0.115505,0.706598,0.143018,0.0816156
6.10876e+06,0.748828,0.0327108,3,15,0,-6.10876e+06,0.115479,0.706505,0.143658,0.0815865
6.10876e+06,0.773708,0.0327108,2,7,0,-6.10876e+06,0.115536,0.706529,0.143877,0.0816297
6.10876e+06,1,0.0327108,2,3,0,-6.10876e+06,0.115474,0.706518,0.143682,0.0815847
6.10876e+06,0.999813,0.0327108,5,47,0,-6.10876e+06,0.115497,0.706215,0.141336,0.0815655
6.10876e+06,0.624438,0.0327108,2,3,0,-6.10875e+06,0.1155,0.706195,0.141071,0.0815659
6.10876e+06,0.983456,0.0327108,6,99,0,-6.10876e+06,0.115464,0.707026,0.147289,0.0816358
6.10876e+06,0.820361,0.0327108,5,35,0,-6.10876e+06,0.115482,0.706847,0.14824,0.0816284
6.10876e+06,0.914678,0.0327108,6,95,0,-6.10876e+06,0.115472,0.706962,0.148569,0.0816344
6.10876e+06,0.999991,0.0327108,6,63,0,-6.10876e+06,0.115532,0.70585,0.142403,0.0815485
6.10876e+06,0.99499,0.0327108,6,63,0,-6.10876e+06,0.115474,0.707091,0.145844,0.0816504
6.10876e+06,0.983616,0.0327108,6,63,0,-6.10876e+06,0.115537,0.70563,0.141794,0.081526
6.10876e+06,0.999991,0.0327108,4,15,0,-6.10876e+06,0.115544,0.705693,0.141673,0.0815388
6.10876e+06,0.867502,0.0327108,2,3,0,-6.10876e+06,0.115551,0.705692,0.141613,0.0815431
6.10876e+06,0.599024,0.0327108,4,23,0,-6.10875e+06,0.115552,0.706099,0.141863,0.0815915
6.10876e+06,0.986715,0.0327108,6,99,0,-6.10876e+06,0.115496,0.706971,0.149564,0.0816525
6.10876e+06,0.984688,0.0327108,5,39,0,-6.10876e+06,0.115482,0.707187,0.149605,0.0816674
6.10876e+06,0.998987,0.0327108,6,83,0,-6.10876e+06,0.115465,0.707305,0.145923,0.0816692
6.10876e+06,0.991872,0.0327108,6,63,0,-6.10876e+06,0.115468,0.707042,0.150962,0.0816405
6.10876e+06,0.993068,0.0327108,3,15,0,-6.10876e+06,0.115474,0.706857,0.151597,0.0816233
6.10876e+06,0.998654,0.0327108,4,15,0,-6.10876e+06,0.115484,0.706847,0.151714,0.0816296
6.10876e+06,0.907277,0.0327108,5,63,0,-6.10876e+06,0.115474,0.707243,0.15234,0.0816679
6.10876e+06,0.998202,0.0327108,5,63,0,-6.10876e+06,0.115441,0.707866,0.147933,0.0817167
6.10876e+06,0.999798,0.0327108,5,63,0,-6.10876e+06,0.11547,0.707168,0.14637,0.0816564
6.10876e+06,0.873581,0.0327108,6,91,0,-6.10876e+06,0.115517,0.706099,0.143842,0.0815666
6.10876e+06,0.925452,0.0327108,6,95,0,-6.10876e+06,0.115485,0.707096,0.14638,0.0816589
6.10876e+06,0.837142,0.0327108,2,3,0,-6.10876e+06,0.115459,0.707117,0.146332,0.0816428
6.10876e+06,0.997311,0.0327108,5,63,0,-6.10876e+06,0.115483,0.707282,0.144553,0.0816792
6.10876e+06,0.922462,0.0327108,6,111,0,-6.10876e+06,0.115494,0.706822,0.143027,0.081634
6.10876e+06,0.997584,0.0327108,5,63,0,-6.10876e+06,0.115486,0.706984,0.143111,0.0816467
6.10876e+06,1,0.0327108,3,7,0,-6.10876e+06,0.115487,0.706946,0.143123,0.081643
6.10876e+06,0.848747,0.0327108,4,23,0,-6.10876e+06,0.115488,0.706574,0.144639,0.0816008
6.10876e+06,0.997702,0.0327108,6,127,0,-6.10876e+06,0.115452,0.707533,0.152102,0.0816859
6.10876e+06,0.993559,0.0327108,6,63,0,-6.10876e+06,0.115442,0.707802,0.151702,0.0817103
6.10876e+06,0.940878,0.0327108,6,71,0,-6.10876e+06,0.115498,0.706807,0.145835,0.0816345
6.10876e+06,0.999914,0.0327108,6,95,0,-6.10876e+06,0.115456,0.707536,0.149889,0.0816894
6.10876e+06,0.596231,0.0327108,4,23,0,-6.10876e+06,0.115487,0.707315,0.149626,0.0816855
6.10876e+06,0.94439,0.0327108,2,3,0,-6.10876e+06,0.115433,0.707294,0.149745,0.0816454
6.10876e+06,0.996297,0.0327108,6,75,0,-6.10876e+06,0.115503,0.706676,0.145576,0.0816229
6.10876e+06,0.948926,0.0327108,6,71,0,-6.10876e+06,0.115467,0.707524,0.14957,0.0816957
6.10876e+06,0.968849,0.0327108,3,15,0,-6.10876e+06,0.115433,0.707602,0.149568,0.0816805
6.10876e+06,0.999484,0.0327108,6,63,0,-6.10876e+06,0.115416,0.707933,0.153487,0.0817065
6.10876e+06,0.977218,0.0327108,4,31,0,-6.10876e+06,0.115424,0.708493,0.150487,0.0817773
6.10876e+06,0.995993,0.0327108,2,3,0,-6.10876e+06,0.115396,0.708488,0.150541,0.0817566
6.10876e+06,0.929767,0.0327108,2,3,0,-6.10876e+06,0.115407,0.708518,0.150585,0.081768
6.10876e+06,0.999393,0.0327108,6,87,0,-6.10876e+06,0.11552,0.70601,0.146919,0.0815583
6.10876e+06,0.996369,0.0327108,6,63,0,-6.10876e+06,0.115409,0.708486,0.149703,0.0817653
6.10876e+06,0.897073,0.0327108,5,51,0,-6.10876e+06,0.115405,0.708347,0.147352,0.0817469
6.10876e+06,0.907859,0.0327108,5,31,0,-6.10876e+06,0.115437,0.70819,0.149396,0.081751
6.10876e+06,1,0.0327108,6,127,0,-6.10876e+06,0.115489,0.70648,0.148309,0.0815907
6.10876e+06,0.948391,0.0327108,6,63,0,-6.10876e+06,0.115428,0.708254,0.151641,0.0817524
6.10876e+06,0.967516,0.0327108,6,127,0,-6.10876e+06,0.115508,0.70648,0.146581,0.0816043
6.10876e+06,0.999926,0.0327108,6,127,0,-6.10876e+06,0.115461,0.70733,0.15056,0.0816689
6.10876e+06,0.773923,0.0327108,1,3,0,-6.10876e+06,0.115444,0.707319,0.150567,0.081656
6.10876e+06,0.999545,0.0327108,6,83,0,-6.10876e+06,0.115481,0.706848,0.144247,0.0816276
6.10876e+06,0.999971,0.0327108,6,95,0,-6.10876e+06,0.115486,0.706927,0.146633,0.0816403
6.10876e+06,0.986491,0.0327108,4,31,0,-6.10876e+06,0.115499,0.706634,0.147078,0.0816157
6.10876e+06,0.855994,0.0327108,6,75,0,-6.10876e+06,0.115432,0.70765,0.148317,0.0816852
