# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = timeVaryingSEIR_model
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = outputs/output_12.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_start,beta_fract,k,beta_end
# Adaptation terminated
# Step size = 0.0302187
# Diagonal elements of inverse mass matrix:
# 9.96828e-06, 1.8338e-05, 0.000546248
6.10876e+06,0.964503,0.0302187,6,63,0,-6.10876e+06,0.115518,0.706382,0.144947,0.0815995
6.10876e+06,0.981436,0.0302187,4,31,0,-6.10876e+06,0.115497,0.706803,0.144085,0.0816336
6.10876e+06,0.945743,0.0302187,6,95,0,-6.10876e+06,0.11546,0.707411,0.151384,0.0816778
6.10876e+06,0.999285,0.0302187,6,111,0,-6.10876e+06,0.115473,0.707106,0.147993,0.0816518
6.10876e+06,0.992075,0.0302187,6,127,0,-6.10876e+06,0.115489,0.706853,0.14604,0.081634
6.10876e+06,0.910103,0.0302187,5,35,0,-6.10876e+06,0.115471,0.707189,0.145371,0.0816595
6.10876e+06,0.946763,0.0302187,6,79,0,-6.10876e+06,0.115469,0.707291,0.146539,0.0816699
6.10876e+06,0.941815,0.0302187,6,127,0,-6.10876e+06,0.115498,0.706654,0.145792,0.0816168
6.10876e+06,0.85569,0.0302187,4,23,0,-6.10876e+06,0.115495,0.707073,0.144757,0.0816637
6.10876e+06,0.98168,0.0302187,6,103,0,-6.10876e+06,0.115449,0.707577,0.152488,0.0816888
6.10876e+06,0.936686,0.0302187,6,115,0,-6.10876e+06,0.115449,0.707302,0.150693,0.081657
6.10876e+06,0.988528,0.0302187,5,55,0,-6.10876e+06,0.115449,0.707666,0.152642,0.0816991
6.10876e+06,0.976081,0.0302187,6,63,0,-6.10876e+06,0.115433,0.708184,0.150795,0.0817477
6.10876e+06,0.906356,0.0302187,6,103,0,-6.10876e+06,0.115469,0.706993,0.147151,0.0816356
6.10876e+06,0.991469,0.0302187,4,31,0,-6.10876e+06,0.115473,0.706877,0.147365,0.0816254
6.10876e+06,0.988136,0.0302187,6,67,0,-6.10876e+06,0.115462,0.707269,0.149575,0.0816624
6.10876e+06,0.624537,0.0302187,2,3,0,-6.10876e+06,0.115462,0.707269,0.149559,0.0816626
6.10876e+06,0.981719,0.0302187,6,63,0,-6.10876e+06,0.115457,0.707476,0.145876,0.0816833
6.10876e+06,0.99528,0.0302187,4,31,0,-6.10876e+06,0.115469,0.707269,0.146577,0.0816675
6.10876e+06,0.998846,0.0302187,5,63,0,-6.10876e+06,0.115474,0.707108,0.145816,0.0816524
6.10876e+06,0.991207,0.0302187,6,95,0,-6.10876e+06,0.115462,0.707264,0.151589,0.0816623
6.10876e+06,0.949011,0.0302187,6,91,0,-6.10876e+06,0.115455,0.707345,0.145992,0.0816663
6.10876e+06,0.91334,0.0302187,6,67,0,-6.10876e+06,0.115508,0.706668,0.144448,0.0816258
6.10876e+06,0.987458,0.0302187,2,3,0,-6.10876e+06,0.115497,0.706658,0.144524,0.0816171
6.10876e+06,0.994201,0.0302187,5,47,0,-6.10876e+06,0.115507,0.706437,0.145396,0.0815988
6.10876e+06,0.999998,0.0302187,6,63,0,-6.10876e+06,0.115481,0.706962,0.145686,0.0816407
6.10876e+06,0.977746,0.0302187,6,63,0,-6.10876e+06,0.11551,0.706433,0.144321,0.0816001
6.10876e+06,0.894073,0.0302187,4,23,0,-6.10876e+06,0.115475,0.706783,0.14307,0.0816155
6.10876e+06,1,0.0302187,3,15,0,-6.10876e+06,0.115483,0.706695,0.143749,0.0816112
6.10876e+06,0.999107,0.0302187,6,63,0,-6.10876e+06,0.115515,0.706461,0.144129,0.0816068
6.10876e+06,0.970441,0.0302187,4,19,0,-6.10876e+06,0.115497,0.706479,0.14442,0.0815963
