# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = timeVaryingSEIR_model
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = outputs/output_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_start,beta_fract,k,beta_end
# Adaptation terminated
# Step size = 0.0346865
# Diagonal elements of inverse mass matrix:
# 9.99475e-06, 2.1277e-05, 0.000864178
6.10876e+06,0.945865,0.0346865,6,79,0,-6.10876e+06,0.115436,0.708009,0.153077,0.08173
6.10876e+06,0.804154,0.0346865,6,75,0,-6.10876e+06,0.115497,0.706862,0.147515,0.0816401
6.10876e+06,0.997506,0.0346865,6,127,0,-6.10876e+06,0.115434,0.708022,0.151309,0.0817295
6.10876e+06,0.944317,0.0346865,3,11,0,-6.10876e+06,0.115419,0.708084,0.151312,0.0817261
6.10876e+06,0.997455,0.0346865,4,31,0,-6.10876e+06,0.115445,0.707444,0.151425,0.0816712
6.10876e+06,0.958174,0.0346865,1,1,0,-6.10876e+06,0.115445,0.707444,0.151425,0.0816712
6.10876e+06,0.815491,0.0346865,6,71,0,-6.10876e+06,0.115515,0.706342,0.142784,0.0815931
6.10876e+06,0.950416,0.0346865,5,35,0,-6.10876e+06,0.115519,0.70589,0.143241,0.0815436
6.10876e+06,0.99986,0.0346865,5,31,0,-6.10876e+06,0.115504,0.706678,0.144472,0.0816245
6.10876e+06,0.859714,0.0346865,4,19,0,-6.10876e+06,0.115506,0.706073,0.145701,0.0815561
6.10876e+06,0.860151,0.0346865,3,11,0,-6.10876e+06,0.115496,0.706194,0.145383,0.0815626
6.10876e+06,0.965418,0.0346865,2,7,0,-6.10876e+06,0.11552,0.706151,0.145538,0.0815748
6.10876e+06,0.957422,0.0346865,4,31,0,-6.10876e+06,0.115513,0.70628,0.145209,0.0815845
6.10876e+06,0.999946,0.0346865,6,127,0,-6.10876e+06,0.11547,0.707072,0.14892,0.0816459
6.10876e+06,0.88807,0.0346865,5,47,0,-6.10876e+06,0.115494,0.706923,0.147781,0.081645
6.10876e+06,0.907007,0.0346865,5,59,0,-6.10876e+06,0.115469,0.707117,0.147891,0.0816499
6.10876e+06,0.842498,0.0346865,4,27,0,-6.10876e+06,0.115443,0.707487,0.146945,0.0816743
6.10876e+06,0.881762,0.0346865,3,11,0,-6.10876e+06,0.115443,0.707412,0.147162,0.0816656
6.10876e+06,0.924803,0.0346865,3,11,0,-6.10876e+06,0.115467,0.707557,0.147125,0.0816996
6.10876e+06,0.971866,0.0346865,5,31,0,-6.10876e+06,0.115495,0.706276,0.147629,0.0815712
6.10876e+06,0.857829,0.0346865,2,3,0,-6.10876e+06,0.115506,0.706284,0.147495,0.0815797
6.10876e+06,0.995388,0.0346865,5,47,0,-6.10876e+06,0.115528,0.705862,0.145428,0.081547
6.10876e+06,1,0.0346865,3,7,0,-6.10876e+06,0.115527,0.705882,0.145483,0.081548
6.10876e+06,0.877069,0.0346865,4,31,0,-6.10876e+06,0.115518,0.706171,0.143911,0.0815756
6.10876e+06,0.549968,0.0346865,4,23,0,-6.10876e+06,0.115534,0.706355,0.141544,0.0816077
6.10876e+06,0.991556,0.0346865,4,19,0,-6.10876e+06,0.115518,0.706373,0.142587,0.0815989
6.10876e+06,0.999703,0.0346865,2,7,0,-6.10876e+06,0.115503,0.706359,0.142483,0.0815865
6.10876e+06,1,0.0346865,3,11,0,-6.10876e+06,0.11551,0.706357,0.142757,0.0815913
6.10876e+06,0.904809,0.0346865,4,23,0,-6.10876e+06,0.115541,0.705916,0.142888,0.0815621
6.10876e+06,0.979515,0.0346865,5,31,0,-6.10876e+06,0.115535,0.705695,0.140967,0.0815324
6.10876e+06,0.999987,0.0346865,5,31,0,-6.10876e+06,0.115536,0.705734,0.13964,0.0815377
6.10876e+06,0.368784,0.0346865,2,3,0,-6.10875e+06,0.115564,0.70571,0.139337,0.081555
6.10876e+06,0.983365,0.0346865,3,15,0,-6.10876e+06,0.115519,0.705737,0.138916,0.0815262
6.10876e+06,1,0.0346865,5,35,0,-6.10876e+06,0.115519,0.706138,0.144909,0.0815725
6.10876e+06,0.995358,0.0346865,5,63,0,-6.10876e+06,0.115488,0.70665,0.147536,0.0816097
6.10876e+06,0.979723,0.0346865,5,47,0,-6.10876e+06,0.115469,0.707232,0.146874,0.0816632
6.10876e+06,0.9916,0.0346865,4,31,0,-6.10876e+06,0.115476,0.706962,0.147849,0.0816373
6.10876e+06,0.975838,0.0346865,4,23,0,-6.10876e+06,0.115466,0.707273,0.147274,0.081666
6.10876e+06,0.922467,0.0346865,5,63,0,-6.10876e+06,0.115483,0.707068,0.147398,0.0816544
6.10876e+06,0.726865,0.0346865,5,55,0,-6.10876e+06,0.115485,0.70677,0.145191,0.0816211
6.10876e+06,0.999879,0.0346865,6,63,0,-6.10876e+06,0.115499,0.706629,0.143271,0.0816148
6.10876e+06,0.792663,0.0346865,6,63,0,-6.10876e+06,0.115522,0.705826,0.141392,0.0815385
6.10876e+06,0.999901,0.0346865,5,63,0,-6.10876e+06,0.115496,0.706538,0.142394,0.081602
6.10876e+06,0.993188,0.0346865,4,23,0,-6.10876e+06,0.115506,0.706412,0.143069,0.081595
6.10876e+06,0.775906,0.0346865,2,3,0,-6.10876e+06,0.11552,0.706412,0.142944,0.0816045
6.10876e+06,0.994234,0.0346865,5,47,0,-6.10876e+06,0.115488,0.706735,0.144894,0.0816196
6.10876e+06,0.94551,0.0346865,6,63,0,-6.10876e+06,0.115528,0.705874,0.142935,0.0815485
6.10876e+06,0.999819,0.0346865,2,7,0,-6.10876e+06,0.115533,0.705842,0.14294,0.0815477
6.10876e+06,0.95464,0.0346865,6,69,0,-6.10876e+06,0.115458,0.707216,0.151442,0.0816534
6.10876e+06,0.958709,0.0346865,4,15,0,-6.10876e+06,0.115454,0.707229,0.151055,0.0816523
6.10876e+06,0.999197,0.0346865,6,127,0,-6.10876e+06,0.115479,0.707232,0.144969,0.0816707
6.10876e+06,0.683964,0.0346865,2,3,0,-6.10876e+06,0.115476,0.707188,0.144713,0.0816629
6.10876e+06,0.943877,0.0346865,5,63,0,-6.10876e+06,0.115484,0.706824,0.147493,0.0816266
6.10876e+06,0.95779,0.0346865,5,63,0,-6.10876e+06,0.115483,0.706949,0.148164,0.0816406
6.10876e+06,0.927667,0.0346865,4,31,0,-6.10876e+06,0.11547,0.707373,0.146827,0.0816803
6.10876e+06,0.722381,0.0346865,6,79,0,-6.10876e+06,0.11549,0.706407,0.145864,0.081583
6.10876e+06,0.986086,0.0346865,6,71,0,-6.10876e+06,0.115451,0.707507,0.149516,0.0816826
6.10876e+06,0.741975,0.0346865,3,11,0,-6.10876e+06,0.11543,0.70753,0.149476,0.0816702
6.10876e+06,0.99928,0.0346865,4,27,0,-6.10876e+06,0.115444,0.707904,0.149751,0.081723
6.10876e+06,0.999405,0.0346865,5,31,0,-6.10876e+06,0.115459,0.707175,0.1517,0.0816498
6.10876e+06,0.778836,0.0346865,5,31,0,-6.10876e+06,0.115474,0.706969,0.15016,0.0816362
6.10876e+06,0.975084,0.0346865,5,63,0,-6.10876e+06,0.115427,0.708207,0.149856,0.081746
6.10876e+06,0.884441,0.0346865,6,63,0,-6.10876e+06,0.115481,0.707239,0.148578,0.0816724
6.10876e+06,0.990269,0.0346865,6,71,0,-6.10876e+06,0.11553,0.706182,0.145458,0.0815852
6.10876e+06,0.999251,0.0346865,6,63,0,-6.10876e+06,0.115489,0.706645,0.143434,0.0816101
6.10876e+06,0.957244,0.0346865,4,31,0,-6.10876e+06,0.11552,0.70631,0.143192,0.0815928
6.10876e+06,0.99619,0.0346865,5,43,0,-6.10876e+06,0.115479,0.706957,0.147322,0.0816388
6.10876e+06,0.9811,0.0346865,4,31,0,-6.10876e+06,0.115484,0.706804,0.147984,0.0816246
6.10876e+06,0.94356,0.0346865,5,31,0,-6.10876e+06,0.115476,0.706913,0.147158,0.0816312
6.10876e+06,0.999686,0.0346865,6,83,0,-6.10876e+06,0.115452,0.707441,0.148465,0.0816757
6.10876e+06,0.899098,0.0346865,5,63,0,-6.10876e+06,0.115478,0.706989,0.147807,0.081642
6.10876e+06,0.947471,0.0346865,6,95,0,-6.10876e+06,0.115428,0.708203,0.151043,0.0817461
6.10876e+06,0.876231,0.0346865,4,31,0,-6.10876e+06,0.115445,0.707601,0.15075,0.0816889
6.10876e+06,0.990851,0.0346865,5,39,0,-6.10876e+06,0.115448,0.707545,0.149362,0.0816844
6.10876e+06,0.949983,0.0346865,4,19,0,-6.10876e+06,0.115461,0.707405,0.149063,0.0816777
6.10876e+06,0.797042,0.0346865,5,55,0,-6.10876e+06,0.115451,0.70721,0.146503,0.0816482
6.10876e+06,0.999894,0.0346865,4,27,0,-6.10876e+06,0.115507,0.706662,0.149081,0.0816242
6.10876e+06,0.914833,0.0346865,5,63,0,-6.10876e+06,0.115502,0.706838,0.150011,0.0816415
