# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = timeVaryingSEIR_model
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 7
# output
#   file = outputs/output_7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_start,beta_fract,k,beta_end
# Adaptation terminated
# Step size = 0.0261081
# Diagonal elements of inverse mass matrix:
# 1.23097e-05, 0.000367135, 0.345687
6.10876e+06,0.921247,0.0261081,2,3,0,-6.10876e+06,0.115496,0.706792,0.146677,0.0816318
6.10876e+06,0.999572,0.0261081,2,7,0,-6.10876e+06,0.115493,0.706703,0.14586,0.0816192
6.10876e+06,0.860293,0.0261081,2,3,0,-6.10876e+06,0.11549,0.706714,0.14374,0.0816185
6.10876e+06,0.992137,0.0261081,3,11,0,-6.10876e+06,0.115491,0.706832,0.144232,0.0816326
6.10876e+06,0.908216,0.0261081,3,13,0,-6.10876e+06,0.11547,0.70739,0.145265,0.0816826
6.10876e+06,0.958461,0.0261081,2,7,0,-6.10876e+06,0.115466,0.707441,0.149625,0.0816854
6.10876e+06,0.788342,0.0261081,2,3,0,-6.10876e+06,0.115439,0.707223,0.151027,0.0816409
6.10876e+06,0.812206,0.0261081,2,3,0,-6.10876e+06,0.115429,0.70726,0.146788,0.0816384
6.10876e+06,1,0.0261081,1,3,0,-6.10876e+06,0.115454,0.707374,0.148137,0.0816691
6.10876e+06,0.973006,0.0261081,4,19,0,-6.10876e+06,0.115494,0.706418,0.146206,0.0815873
6.10876e+06,0.936989,0.0261081,3,11,0,-6.10876e+06,0.115488,0.706923,0.146418,0.081641
6.10876e+06,0.96318,0.0261081,2,3,0,-6.10876e+06,0.115485,0.706963,0.145638,0.0816438
6.10876e+06,0.760401,0.0261081,2,3,0,-6.10876e+06,0.115471,0.706855,0.14519,0.081621
6.10876e+06,0.974623,0.0261081,2,3,0,-6.10876e+06,0.115491,0.707076,0.14847,0.0816606
6.10876e+06,0.970209,0.0261081,3,11,0,-6.10876e+06,0.115456,0.707831,0.151885,0.0817234
6.10876e+06,0.626212,0.0261081,2,7,0,-6.10875e+06,0.115431,0.70785,0.157782,0.0817082
6.10876e+06,0.999843,0.0261081,3,7,0,-6.10876e+06,0.115449,0.707839,0.14527,0.0817193
6.10876e+06,0.766443,0.0261081,2,7,0,-6.10876e+06,0.115435,0.707551,0.149393,0.0816762
6.10876e+06,0.834021,0.0261081,2,3,0,-6.10876e+06,0.115441,0.707597,0.147822,0.0816859
6.10876e+06,0.808847,0.0261081,2,7,0,-6.10876e+06,0.115477,0.707297,0.149145,0.0816766
6.10876e+06,0.897631,0.0261081,1,3,0,-6.10876e+06,0.115456,0.707212,0.149127,0.0816518
6.10876e+06,0.998457,0.0261081,4,23,0,-6.10876e+06,0.115505,0.706252,0.145874,0.0815756
6.10876e+06,0.989293,0.0261081,4,19,0,-6.10876e+06,0.115488,0.706917,0.145693,0.08164
6.10876e+06,0.742194,0.0261081,3,15,0,-6.10876e+06,0.115461,0.707362,0.148588,0.0816727
6.10876e+06,0.973916,0.0261081,4,23,0,-6.10876e+06,0.115488,0.706719,0.146157,0.0816179
6.10876e+06,0.937876,0.0261081,3,15,0,-6.10876e+06,0.115465,0.707145,0.146324,0.0816508
6.10876e+06,0.922315,0.0261081,3,11,0,-6.10876e+06,0.115467,0.707419,0.151003,0.0816834
6.10876e+06,1,0.0261081,2,3,0,-6.10876e+06,0.115452,0.70734,0.149852,0.0816637
6.10876e+06,0.865209,0.0261081,1,1,0,-6.10876e+06,0.115448,0.7073,0.150505,0.0816563
6.10876e+06,0.948584,0.0261081,2,3,0,-6.10876e+06,0.115466,0.707564,0.146377,0.0816993
6.10876e+06,0.992664,0.0261081,3,15,0,-6.10876e+06,0.115489,0.707007,0.145912,0.0816515
6.10876e+06,1,0.0261081,2,3,0,-6.10876e+06,0.115484,0.706941,0.14725,0.0816406
6.10876e+06,0.893081,0.0261081,3,7,0,-6.10876e+06,0.115489,0.706781,0.144555,0.0816257
6.10876e+06,0.719881,0.0261081,3,11,0,-6.10876e+06,0.115509,0.706106,0.142896,0.0815617
6.10876e+06,0.833776,0.0261081,2,3,0,-6.10876e+06,0.115527,0.706256,0.14495,0.0815917
6.10876e+06,0.999802,0.0261081,4,19,0,-6.10876e+06,0.115424,0.708066,0.151472,0.0817276
6.10876e+06,0.869202,0.0261081,3,11,0,-6.10876e+06,0.115442,0.70742,0.149931,0.0816662
6.10876e+06,0.99321,0.0261081,3,7,0,-6.10876e+06,0.115476,0.707329,0.147982,0.0816794
6.10876e+06,0.901108,0.0261081,2,7,0,-6.10876e+06,0.115463,0.707376,0.145377,0.0816757
6.10876e+06,0.951712,0.0261081,3,11,0,-6.10876e+06,0.115418,0.707871,0.152374,0.081701
6.10876e+06,1,0.0261081,2,3,0,-6.10876e+06,0.115437,0.708028,0.150976,0.0817328
6.10876e+06,0.993298,0.0261081,3,7,0,-6.10876e+06,0.115424,0.707952,0.150414,0.0817144
6.10876e+06,1,0.0261081,2,3,0,-6.10876e+06,0.115438,0.707891,0.151432,0.0817175
